player,아웃,병살타,희생번트,희생플라이,BB,H,2B,3B,HR
채은성,0.517460317,0.015873016,0,0,0.066666667,0.277777778,0.1,0,0.022222222
문현빈,0.561643836,0,0,0,0.054794521,0.273972603,0.068493151,0,0.04109589
이진영,0.558139535,0,0,0.023255814,0.069767442,0.255813953,0.069767442,0,0.023255814
이도윤,0.551724138,0,0.034482759,0,0.103448276,0.24137931,0.034482759,0.034482759,0
김태연,0.648550724,0.014492754,0.010869565,0,0.065217391,0.239130435,0.010869565,0,0.010869565
노시환,0.567790582,0.028169014,0,0,0.070707071,0.232323232,0.03030303,0.01010101,0.060606061
플로리얼,0.545788507,0.027027027,0,0.009708738,0.087378641,0.233009709,0.077669903,0.009708738,0.009708738
최재훈,0.546296296,0.027777778,0.037037037,0.037037037,0.166666667,0.166666667,0.018518519,0,0
최인호,0.503722084,0.076923077,0,0,0.161290323,0.193548387,0.064516129,0,0
이재원,0.678571429,0,0,0,0.107142857,0.178571429,0,0.035714286,0
황영묵,0.603011786,0.017241379,0.012658228,0,0.139240506,0.164556962,0.063291139,0,0
하주석,0.666666667,0,0,0,0.083333333,0.166666667,0.083333333,0,0
심우준,0.725806452,0,0.032258065,0,0.048387097,0.161290323,0.032258065,0,0
임종찬,0.68,0,0,0,0.12,0.12,0.04,0,0.04
이원석,0.88,0,0,0,0.04,0.08,0,0,0
안치홍,0.771428571,0.028571429,0,0,0.142857143,0.057142857,0,0,0
